     Time                caller                       callee          
 329.214813      inaro.wallpaper-2281     => surfaceflinger           
 329.225220      inaro.wallpaper-2281     => surfaceflinger           
 329.239227      inaro.wallpaper-2281     => surfaceflinger           
 329.249634      inaro.wallpaper-2281     => surfaceflinger           
 329.265411      inaro.wallpaper-2281     => surfaceflinger           
 329.276031      inaro.wallpaper-2281     => surfaceflinger           
 330.279266      inaro.wallpaper-2281     => surfaceflinger           
 330.289032      inaro.wallpaper-2281     => surfaceflinger           
 330.304474      inaro.wallpaper-2281     => surfaceflinger           
 330.314270      inaro.wallpaper-2281     => surfaceflinger           
 330.328125      inaro.wallpaper-2281     => surfaceflinger           
 330.337952      inaro.wallpaper-2281     => surfaceflinger           
 330.353668      inaro.wallpaper-2281     => surfaceflinger           
 330.363434      inaro.wallpaper-2281     => surfaceflinger           
 330.379700      inaro.wallpaper-2281     => surfaceflinger           
 330.389465      inaro.wallpaper-2281     => surfaceflinger           
 330.405182      inaro.wallpaper-2281     => surfaceflinger           
 330.415100      inaro.wallpaper-2281     => surfaceflinger           
 330.430878      inaro.wallpaper-2281     => surfaceflinger           
 330.440826      inaro.wallpaper-2281     => surfaceflinger           
 330.459930      inaro.wallpaper-2281     => surfaceflinger           
 330.470062      inaro.wallpaper-2281     => surfaceflinger           
 330.485870      inaro.wallpaper-2281     => surfaceflinger           
 330.496002      inaro.wallpaper-2281     => surfaceflinger           
 330.515076      inaro.wallpaper-2281     => surfaceflinger           
 330.525177      inaro.wallpaper-2281     => surfaceflinger           
 330.541046      inaro.wallpaper-2281     => surfaceflinger           
 330.551575      inaro.wallpaper-2281     => surfaceflinger           
 330.568146      inaro.wallpaper-2281     => surfaceflinger           
 330.578339      inaro.wallpaper-2281     => surfaceflinger           
 330.592224      inaro.wallpaper-2281     => surfaceflinger           
 330.603302      inaro.wallpaper-2281     => surfaceflinger           
 330.620850      inaro.wallpaper-2281     => surfaceflinger           
 330.631470      inaro.wallpaper-2281     => surfaceflinger           
 330.647430      inaro.wallpaper-2281     => surfaceflinger           
 330.657776      inaro.wallpaper-2281     => surfaceflinger           
 330.673492      inaro.wallpaper-2281     => surfaceflinger           
 330.683655      inaro.wallpaper-2281     => surfaceflinger           
 330.702850      inaro.wallpaper-2281     => surfaceflinger           
 330.713196      inaro.wallpaper-2281     => surfaceflinger           
 330.726990      inaro.wallpaper-2281     => surfaceflinger           
 330.737427      inaro.wallpaper-2281     => surfaceflinger           
 330.753387      inaro.wallpaper-2281     => surfaceflinger           
 330.763702      inaro.wallpaper-2281     => surfaceflinger           
